[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:19.939014'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 4.93), ('watertemp', 25.19), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:20.290087'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 5.74), ('watertemp', 25.2), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:20.507166'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 5.9), ('watertemp', 25.2), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:20.724207'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 6.06), ('watertemp', 25.2), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:20.941159'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 6.22), ('watertemp', 25.2), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:21.158164'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 6.38), ('watertemp', 25.2), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:21.375077'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 6.54), ('watertemp', 25.2), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:21.592004'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 6.7), ('watertemp', 25.2), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:21.809525'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 6.86), ('watertemp', 25.2), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:22.026553'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 7.02), ('watertemp', 25.19), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:22.542430'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 7.99), ('watertemp', 25.2), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:22.759879'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 8.15), ('watertemp', 25.19), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:23.003845'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 8.31), ('watertemp', 25.2), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:23.223290'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 8.47), ('watertemp', 25.2), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:23.440457'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 8.63), ('watertemp', 25.2), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:23.659006'), 
