[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:49.157537'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 6.22), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:49.373957'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 6.38), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:49.591068'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 28.0), ('time', 6.54), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:49.808133'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 6.7), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:50.025281'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 6.86), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:50.242511'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 28.0), ('time', 7.02), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:50.461153'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 7.18), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:50.678425'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 7.34), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:50.895825'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 7.5), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:51.113180'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 7.66), ('watertemp', 23.58), ('yaw', 0.0)]
